species,resp_var,response_label,model_id,treatment,component,estimate_raw,estimate,display_sign,estimate_raw_boot_mean,estimate_boot_mean,lower_raw,upper_raw,lower,upper,p_boot,n_boot
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,precipitation,direct,-0.19303185782761717,-0.19303185782761717,1,-0.19080155669247365,-0.19080155669247365,-0.302457706852258,-0.08516775029769942,-0.302457706852258,-0.08516775029769942,0.003996003996003996,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,precipitation,indirect,-0.03573786327345745,-0.03573786327345745,1,-0.03573844476974628,-0.03573844476974628,-0.08308426301434645,0.006547959694604361,-0.08308426301434645,0.006547959694604361,0.12187812187812187,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,precipitation,total,-0.22876972110107463,-0.22876972110107463,1,-0.22654000146221992,-0.22654000146221992,-0.34100569930422303,-0.11577521918624567,-0.34100569930422303,-0.11577521918624567,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,precipitation,treatment_to_swc,-0.7092513765186087,-0.7092513765186087,1,-0.7114765605166739,-0.7114765605166739,-0.8674246262073382,-0.5623194445820132,-0.8674246262073382,-0.5623194445820132,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,robinia,direct,-0.32110002132290927,-0.32110002132290927,1,-0.3231758610216428,-0.3231758610216428,-0.4383112628813132,-0.19950664145201483,-0.4383112628813132,-0.19950664145201483,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,robinia,indirect,-0.015088238847933682,-0.015088238847933682,1,-0.015329424760651248,-0.015329424760651248,-0.040322592676469544,0.0029771564737901598,-0.040322592676469544,0.0029771564737901598,0.12187812187812187,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,robinia,total,-0.33618826017084297,-0.33618826017084297,1,-0.33850528578229405,-0.33850528578229405,-0.46200959669946434,-0.21032463795252268,-0.46200959669946434,-0.21032463795252268,0.001998001998001998,1000
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,robinia,treatment_to_swc,-0.29944023486391297,-0.29944023486391297,1,-0.30379555767232486,-0.30379555767232486,-0.4734161959921332,-0.1457071248611285,-0.4734161959921332,-0.1457071248611285,0.001998001998001998,1000
quercus,chl,Chlorophyll,quercus__chl,culture,direct,-0.11748432041989745,-0.11748432041989745,1,-0.12305804963086195,-0.12305804963086195,-0.30130654829708686,0.04336707691259523,-0.30130654829708686,0.04336707691259523,0.14385614385614387,1000
quercus,chl,Chlorophyll,quercus__chl,culture,indirect,0.0023168586739020225,0.0023168586739020225,1,0.0025816082047826518,0.0025816082047826518,-0.006139714092941579,0.012914363426549735,-0.006139714092941579,0.012914363426549735,0.5394605394605395,1000
quercus,chl,Chlorophyll,quercus__chl,culture,total,-0.11516746174599543,-0.11516746174599543,1,-0.1204764414260793,-0.1204764414260793,-0.3017598159818328,0.04573989681098901,-0.3017598159818328,0.04573989681098901,0.15384615384615385,1000
quercus,chl,Chlorophyll,quercus__chl,culture,treatment_to_swc,-0.18096747845294298,-0.18096747845294298,1,-0.18198451950047684,-0.18198451950047684,-0.3514337305357309,-0.015501658740625418,-0.3514337305357309,-0.015501658740625418,0.025974025974025976,1000
quercus,chl,Chlorophyll,quercus__chl,extreme_event,direct,-0.137385861886533,-0.137385861886533,1,-0.13677857042055078,-0.13677857042055078,-0.21782425127925545,-0.06658060573822235,-0.21782425127925545,-0.06658060573822235,0.001998001998001998,1000
quercus,chl,Chlorophyll,quercus__chl,extreme_event,indirect,0.012315974892230309,0.012315974892230309,1,0.012676117225726289,0.012676117225726289,-0.03194312080713704,0.0478133152751483,-0.03194312080713704,0.0478133152751483,0.5274725274725275,1000
quercus,chl,Chlorophyll,quercus__chl,extreme_event,total,-0.12506988699430271,-0.12506988699430271,1,-0.12410245319482448,-0.12410245319482448,-0.22908998017608453,-0.039482420577098366,-0.22908998017608453,-0.039482420577098366,0.003996003996003996,1000
quercus,chl,Chlorophyll,quercus__chl,extreme_event,treatment_to_swc,-0.9619882930463667,-0.9619882930463667,1,-0.9613700508636729,-0.9613700508636729,-1.0211786972300219,-0.9028553259433699,-1.0211786972300219,-0.9028553259433699,0.001998001998001998,1000
quercus,chl,Chlorophyll,quercus__chl,precipitation,direct,0.06880841487575964,0.06880841487575964,1,0.06985797349427539,0.06985797349427539,-0.0919652358931896,0.22623236692551427,-0.0919652358931896,0.22623236692551427,0.37162837162837165,1000
