tree_id,boxlabel,species,robinia,precipitation,culture,metric,value
566,b3-p6-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.0547263681592038
567,b3-p6-c3,quercus,with robinia,control,mixed,Root biomass (g),24.099999999999994
567,b3-p6-c3,quercus,with robinia,control,mixed,Shoot biomass (g),25.4
567,b3-p6-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.9488188976377951
249,b2-p2-c4,quercus,with robinia,control,mono,Root biomass (g),31.400000000000002
249,b2-p2-c4,quercus,with robinia,control,mono,Shoot biomass (g),22.299999999999994
249,b2-p2-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.4080717488789243
252,b2-p2-c4,quercus,with robinia,control,mono,Root biomass (g),25.2
252,b2-p2-c4,quercus,with robinia,control,mono,Shoot biomass (g),16.4
252,b2-p2-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.5365853658536586
253,b2-p2-c4,quercus,with robinia,control,mono,Root biomass (g),20.3
253,b2-p2-c4,quercus,with robinia,control,mono,Shoot biomass (g),19.199999999999996
253,b2-p2-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.057291666666667
256,b2-p2-c4,quercus,with robinia,control,mono,Root biomass (g),47.3
256,b2-p2-c4,quercus,with robinia,control,mono,Shoot biomass (g),32.30000000000001
256,b2-p2-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.4643962848297207
537,b3-p5-c4,quercus,with robinia,control,mono,Root biomass (g),16.5
537,b3-p5-c4,quercus,with robinia,control,mono,Shoot biomass (g),15.3
537,b3-p5-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),1.0784313725490196
540,b3-p5-c4,quercus,with robinia,control,mono,Root biomass (g),11.2
540,b3-p5-c4,quercus,with robinia,control,mono,Shoot biomass (g),15.200000000000001
540,b3-p5-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),0.7368421052631577
541,b3-p5-c4,quercus,with robinia,control,mono,Root biomass (g),6.800000000000001
541,b3-p5-c4,quercus,with robinia,control,mono,Shoot biomass (g),8.6
541,b3-p5-c4,quercus,with robinia,control,mono,Root:shoot biomass (-),0.7906976744186047
544,b3-p5-c4,quercus,with robinia,control,mono,Root biomass (g),34.10000000000001
