species,robinia,precipitation,culture,phase,date,mean,sd,n,se
quercus,with-robinia,control,mono,September+,2025-11-05,31.310509447410237,27.978685747932804,56,3.7388091500349847
quercus,with-robinia,control,mono,September+,2025-12-02,31.23662513693015,29.347817157816472,56,3.9217670305083936
quercus,with-robinia,control,mixed,until June,2025-03-07,0,0,24,0
quercus,with-robinia,control,mixed,until June,2025-05-08,52.8724389290207,18.299846703198703,24,3.7354405661658157
quercus,with-robinia,control,mixed,until June,2025-06-11,83.23980519823193,35.98301640904373,24,7.345002467362617
quercus,with-robinia,control,mixed,July-August,2025-06-11,0,0,24,0
quercus,with-robinia,control,mixed,July-August,2025-07-09,4.721965588524926,9.727005122511695,24,1.9855166062993193
quercus,with-robinia,control,mixed,July-August,2025-08-05,26.56740708527234,23.666810842506173,24,4.830967533592382
quercus,with-robinia,control,mixed,July-August,2025-09-01,49.07406817129607,29.29650354170782,24,5.980123743735364
quercus,with-robinia,control,mixed,September+,2025-09-01,0,0,24,0
quercus,with-robinia,control,mixed,September+,2025-09-29,27.260519701655504,17.619300546333967,24,3.5965246636049253
quercus,with-robinia,control,mixed,September+,2025-11-05,31.088623076841166,18.983446906597038,24,3.8749798733648753
quercus,with-robinia,control,mixed,September+,2025-12-02,31.694533325920222,22.674682640916792,24,4.628450212482456
quercus,with-robinia,drought,mono,until June,2025-03-07,0,0,48,0
quercus,with-robinia,drought,mono,until June,2025-05-08,44.14113682713984,23.672677205910087,48,3.416856639317827
quercus,with-robinia,drought,mono,until June,2025-06-11,62.91608297323989,25.183124118976487,48,3.634870872281708
quercus,with-robinia,drought,mono,July-August,2025-06-11,0,0,48,0
quercus,with-robinia,drought,mono,July-August,2025-07-09,2.556761107347865,8.23196972456376,48,1.1881824841094342
quercus,with-robinia,drought,mono,July-August,2025-08-05,15.370072870035365,16.140597998431314,48,2.3296946498189635
quercus,with-robinia,drought,mono,July-August,2025-09-01,35.91865031465075,26.24106466351184,48,3.7875714368252344
quercus,with-robinia,drought,mono,September+,2025-09-01,0,0,48,0
quercus,with-robinia,drought,mono,September+,2025-09-29,28.91212955119242,18.902995172387126,48,2.728412337816976
quercus,with-robinia,drought,mono,September+,2025-11-05,33.99128386923419,21.7026754242099,48,3.1325113745756656
quercus,with-robinia,drought,mono,September+,2025-12-02,34.49984440899753,21.948162765836326,48,3.167944420268331
quercus,with-robinia,drought,mixed,until June,2025-03-07,0,0,24,0
quercus,with-robinia,drought,mixed,until June,2025-05-08,35.887562797683586,25.029652879483447,24,5.109156499476512
quercus,with-robinia,drought,mixed,until June,2025-06-11,74.67086764663851,88.40667576544217,24,18.0459371234174
quercus,with-robinia,drought,mixed,July-August,2025-06-11,0,0,24,0
quercus,with-robinia,drought,mixed,July-August,2025-07-09,2.817083314320268,6.241032865028845,24,1.2739454989384056
quercus,with-robinia,drought,mixed,July-August,2025-08-05,8.219973758426242,18.75739992967623,24,3.8288382274186525
quercus,with-robinia,drought,mixed,July-August,2025-09-01,28.0402628661484,28.72307359744805,24,5.863072846512944
quercus,with-robinia,drought,mixed,September+,2025-09-01,0,0,24,0
quercus,with-robinia,drought,mixed,September+,2025-09-29,23.558037121212113,23.804998874204063,24,4.859175047443997
quercus,with-robinia,drought,mixed,September+,2025-11-05,28.72190415523779,25.500479037949574,24,5.205263486626245
quercus,with-robinia,drought,mixed,September+,2025-12-02,32.900118945079676,24.575824370523144,24,5.016519143003109
