tree_id,treelabel,species,boxlabel
495,b3-p4-c2-a4,quercus,b3-p4-c2
496,b3-p4-c2-b4,quercus,b3-p4-c2
497,b3-p4-c3-a1,fagus,b3-p4-c3
498,b3-p4-c3-b1,quercus,b3-p4-c3
499,b3-p4-c3-a2,quercus,b3-p4-c3
500,b3-p4-c3-b2,fagus,b3-p4-c3
501,b3-p4-c3-a3,fagus,b3-p4-c3
502,b3-p4-c3-b3,quercus,b3-p4-c3
503,b3-p4-c3-a4,quercus,b3-p4-c3
504,b3-p4-c3-b4,fagus,b3-p4-c3
505,b3-p4-c4-a1,quercus,b3-p4-c4
506,b3-p4-c4-b1,fagus,b3-p4-c4
507,b3-p4-c4-a2,fagus,b3-p4-c4
508,b3-p4-c4-b2,quercus,b3-p4-c4
509,b3-p4-c4-a3,quercus,b3-p4-c4
510,b3-p4-c4-b3,fagus,b3-p4-c4
511,b3-p4-c4-a4,fagus,b3-p4-c4
512,b3-p4-c4-b4,quercus,b3-p4-c4
513,b3-p5-c1-a1,quercus,b3-p5-c1
514,b3-p5-c1-b1,quercus,b3-p5-c1
515,b3-p5-c1-a2,quercus,b3-p5-c1
